id,candidate_id,source_group,source_provenance,source_page_url,original_image_url,width_px,height_px,downloaded_bytes_sha256,decoded_rgb_sha256,dhash_256,reviewed_on,review_method,visual_observation,design_implication
D001,1,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-1.png,803,1200,07f469dc2cf0e8c43f8959dfc7cd0b71d0d17190df9effea5088cd9c4a21ae0b,2009d139c743a797ae1461450ec0827cbe2d0c139c3e71c23831170b8eb62fda,f2d8e4dbe75acb182f642f2375a13d8066004a814e870e04c60c869c86b0d180,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Whole classic prop before restoration; blue hemispheres and a faceted low fender remain visible.,Keep hemisphere rows and a visually continuous lower bumper despite the custom circular footprint.
D002,2,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-2.png,803,1200,a11c247a67bebecea8b526ccb170056806096f764d78eaf1bbd681386d64e15a,96332b26ff0bbd6597223dbac6f62b0d9a9ce806feb0aca02dc818c48c82c789,ef78cd5acf1b871b9fdbb6db3e9920b802991299229d2bcd2fcd3e097c09fca9,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Rear cutaway exposes a broad hollow shoulder and separate skirt shell; appendage pivots stay inside.,Place actuator cases inside the shoulder and preserve vertical service access.
D003,3,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-3.png,1200,803,8d65c7f0a29eed80627157bdfab625f8bad1c0d0086781b6e432e08e2a42f76d,e5b696b57ae4f9fed409a7229c7ba5dd254c9e94ea033ff4e4d3f1384415a648,97ec97cc474d530913895bcc47db62de27866072270333537de337e23ce2aec4,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Three broad neck rings project beyond the dark mesh drum; thin vertical supports cross the gaps.,Use strong light-dark separation between rings and grille.
D004,4,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-4.png,1200,803,27d9aaba6b5bd1ef54318029f85d30edb609c4d1b57deb576b23ce7fa9412239,f3adc1995b51d9930372ed3e58fd3a5da689dafec649f54252571cd2eb9fd2d4,a5dae4d9f1997e1a6e3beab97e1eea1e5a8e6f0bda09ae8df311fa51fe19fea0,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,The detached skirt has tapering panel faces and four vertically aligned hemisphere levels.,Continue ordered vertical bump columns through stack joints.
D005,5,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-5.png,1200,803,d2b3b387bf155ebd70381dc396e78c217169f649787710757b19b0ff2046554e,f5df4b79520e596691218192388cffea1a61ee678274411af4fd41e4f3e40ae5,fb16f062e372c85a0b5e2b5e4b5eadd62f5e471e5f065f065e067e067c047e04,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Inside the skirt the hemispheres form hollow cups rather than solid internal blocks.,"Hollow decorative bosses where manufacturing allows, to limit weight."
D006,6,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-6.png,1200,803,e5e559e85f94c21b5afc841746ab63426fee322f94488c20cff25fac9dbbc12c,0bcb942201b45acf9bb0f56bd9389930d18ffc1d54854f23d1d4e63fcefe648d,ed8c61c431e133e141e082f084f0c4f0c1f849f1c9b189b18bb10b318f2097ab,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Underside of the shoulder shows a hollow tapered shell and a substantial lower locating edge.,Keep visible shell thin and place structural joint material inside.
D007,7,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-7.png,1200,803,dbdcd3fc0ac5c8abacdb88b923c7dec241a0c60568ec1b523a34c307bc5a4c21,0544fc1dc911de9a11f94da4fb02c749ac1d69cfbf324e2f04dda6b3a530ce54,dc7cc09ca1ac83ac835ca52ccdaccb8d215d6d8c799ec14ecd8c898c9a448f8c,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Removed rear skirt section has four rows of hemispheres above an outward-projecting dark fender.,Maintain a bumper ledge below the lowest bump row.
D008,8,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-8.png,1200,803,9a45a14080522de798674449f91dbd02c88687713890fdcb61367740e28501e9,ea76bae433f81805d27ebc04095feb82e3e5e5df219d0d21a6338eee7a390de9,478c623c2f7c2e742ecc292ca96a9e9a192a6b72ce92c829c96bced39cf3a473,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,"Rear view of the removed skirt shows hemisphere cavities, a perimeter shell and local reinforcement.",Use localized reinforcement instead of filling every decorative feature solid.
D009,9,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-9.png,1200,803,e148fbc69016378acb78bbc169ff0a2aed354488ce995c4d355d9dfe816a0c7c,7e957c4afac02a69169e7d570d259ebd1d04c5970db6c2e933f9a8b7b497606f,9f469f2e9f2c7f24ff387f386f116e197db86e387e652e4e3e573c976ebe7ff8,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,The detached shoulder rear is plain and curved with a thick dark lower band.,Keep the rear display within a restrained framed opening.
D010,10,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-10.png,1200,803,087be813529df4df9f2528686608f18f1c21f23aa95e7894adf572d5c83fbda2,3edf878388c550f354f66f8980d33c3e070a06cf968bf5c9dbd0c0e7e5228ebf,93460b865f66d01ec193c993499348c3c883c103c303c7339c2f93e63c381b00,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,"Inside the shoulder rear, a local wood block and metal bracket support fittings.",Hide component mounts behind the external body surface.
D011,11,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-11.png,1200,803,e3541defe880bd0fe1ccc1e0f52c7ae4e6a8ee23f59623ecfc31864894aa2bca,39c1c668af355ef91e61808869480b9517c0ccca6018096830bc601aae39bc1b,cb03c30f061d0e030e031e031e435c037c0d7c0d7c0d38033803180f18073827,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,A repaired vertical shoulder seam interrupts an otherwise continuous curved surface.,Align assembly seams with deliberate trim lines.
D012,12,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-12.png,1200,803,3adabccc0a3a76c2c9ac21a2a66d5703638ee8fdaba290bc175f8aca0f064056,c507084e2aa8d388761596a47131d162c1670b8c25773d6d012da8f62d58ed95,7a66716c60f86d982f9c67984596678c62cee6c6b0c60f4e470c670c30193e00,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,The restored shoulder perimeter reads as one continuous tapered band.,Prioritize a smooth external circumference over exposed brackets.
D013,13,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-13.png,1200,803,fb0a8472ff68174e6953393a8d57a06a453e4ff5111ef45f81cc77cf5c42ce68,d7c864e2b3b4eb98d32ad1f9e253c7ded3674cb8a7f9ff3e1f5464e1b1dfb2fc,f716df06fe00ec40e860f1b0f130e930e232613621e6a3c6efc3d9c19dc03ec1,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Arm tube emerges from a large ball inside a raised square socket box.,Use a round or spherical visible joint with actuators behind it.
D014,14,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-16.png,1200,803,016a1ca0876e78c4b0c3c307e7f7d1532566935c0a9364630df21bec3d858440,0907b211956ab963a34ae3b59b7b42667e5882cc0ebc1348f5c77bcc748de8ca,47eec30e136643668366a3c09c1899d811b853985398e3b8b3ecb1cc9e18d638,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,"An open neck cylinder shows mesh, thin posts and a circular top support ring.",Separate grille appearance from the internal head-support structure.
D015,15,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-14.png,1200,803,e40a3964f104cb5a3ca24ea15766cfe0a1918cb52880ee5b7bfe72d399e9a668,f3ebde865c615063fa7d1f1e6b2010612c9dbda732a386fc33708368f3a8b236,fb99fad9f27173e8dc48cd59e4703ccc5e18ba793b08f234d0e4988c99823bb2,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Restored neck rings share a common axis and project beyond the mesh drum.,Keep all neck rings concentric with the rotating head.
D016,16,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-15.png,1200,803,cdc28270ef79c3e197d066ce305bb4877bf72d9ef6c322d52a1da58d835af826,3f7715eabc1f45f9a041c668f7fec98f768ee8cc4643027af04f3e0bf98e12b0,79435989793279107b70f2f06099c8cc888f8ccd88cc8c8cc0fdc3397c417c81,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Small rollers sit on the neck top ring beneath the removable dome; a handle projects inward.,Hide head-drive hardware below the dome and retain a distinct bearing load path.
D017,17,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-17.png,1200,803,3a85cf9759c454665cfc414cfbd2f04e13da3daa6f2fe40f9f4ee76388d61e0f,97af0146ea8d7791f5134a21a985b67cc26867b442693c81a24c1d3c5c7ec8c9,63306338ec2fd91393c3b980a9101f893fcdcba9e1db707b39693c393618135a,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Detached dome is a shallow shell with a wide open underside and a rear repair gap.,Keep the dome removable for access to the hidden drive.
