net,origin,destination,wire_awg,color,note
BAT_POS,B1.PP30+,F1.IN,18,red,7.5A fuse within 100mm of pack
BAT_FUSED,F1.OUT,S1.1,18,red,
PACK_SW,S1.3,S2.1,18,red,NKK S1A ON connects terminals1 and3
PACK_SW,S1.3,F4.IN,18,red,NKK S1A ON connects terminals1 and3
PACK_SW,S1.3,R10.1,18,red,NKK S1A ON connects terminals1 and3
ACT_IN,S2.3,F2.IN,18,orange,Physical actuator power disconnect; logic stays powered
ACT_IN,S2.3,F3.IN,18,orange,Physical actuator power disconnect; logic stays powered
MOTOR_IN,F2.OUT,U2.VIN,18,orange,F2 3A
SERVO_IN,F3.OUT,U3.VIN,18,orange,F3 3A
LOGIC_IN,F4.OUT,U4.IN,22,red,F4 1A
5V_MOTOR,U2.VOUT,U5.VMotor,18,orange,
5V_MOTOR,U2.VOUT,U6.VMotor,18,orange,
5V_MOTOR,U2.VOUT,R12.1,18,orange,
5V_SERVO,U3.VOUT,J_SERVO.2,18,red,Five separate servo branches; never feed through PCA9685 V+ traces
5V_SERVO,U3.VOUT,U8.14,18,red,Five separate servo branches; never feed through PCA9685 V+ traces
5V_SERVO,U3.VOUT,U9.14,18,red,Five separate servo branches; never feed through PCA9685 V+ traces
5V_LOGIC,U4.OUT,J_USB_ISO.1,22,red,
5V_LOGIC,U4.OUT,U7.VIN,22,red,
5V_LOGIC,U4.OUT,R14.1,22,red,
ESP_5V,J_USB_ISO.2,U1.5V,22,red,Removable run-power link; OPEN and unplug battery before USB
3V3,U1.3V3,U10.VCC,26,red,
3V3,U1.3V3,R6.1,26,red,
GND,B1.PP30-,U2.GND,18,black,Star ground; power returns do not pass through ESP32 or PCA board
GND,B1.PP30-,U3.GND,18,black,Star ground; power returns do not pass through ESP32 or PCA board
GND,B1.PP30-,U4.GND,18,black,Star ground; power returns do not pass through ESP32 or PCA board
GND,B1.PP30-,U5.GND,18,black,Star ground; power returns do not pass through ESP32 or PCA board
GND,B1.PP30-,U6.GND,18,black,Star ground; power returns do not pass through ESP32 or PCA board
GND,B1.PP30-,J_SERVO.1,18,black,Star ground; power returns do not pass through ESP32 or PCA board
GND,GROUND_STAR,U1.GND,22,black,
GND,GROUND_STAR,U7.GND,22,black,
GND,GROUND_STAR,U8.7,22,black,
