vendor,sku,item,quantity,unit_usd,line_usd,why,source
Adafruit,3777,"DC gearbox 'TT' motor, 1:48, 3-6 V",1,2.50,2.50,the single drive motor; 65.4 mN.m stall and 207 RPM at 5 V,https://www.adafruit.com/product/3777
Adafruit,3297,DRV8833 DC motor driver breakout,1,5.95,5.95,"3.3 V logic direct, 2.7 V motor floor, and a 1.0 A hardware current chop that caps cable tension at 151 N with no firmware in the loop",https://www.adafruit.com/product/3297
Adafruit,5396,VL53L4CD time-of-flight distance sensor,1,14.95,14.95,"hand-wave target; the only VL53 board published down to 1 mm, and the narrowest cone at 18 deg so a passer-by stays out of it",https://www.adafruit.com/product/5396
Adafruit,3967,VL53L1X time-of-flight distance sensor,1,14.95,14.95,"doorway and closing path; 4 m range and the widest published cone at 27 deg, with a programmable region of interest to trim it to the opening",https://www.adafruit.com/product/3967
Adafruit,2809,LIS3DH triple-axis accelerometer,1,4.95,4.95,"kick detection; the only candidate with both an on-chip click engine and a high-pass filter in front of it, so the threshold is spent on the impulse and not on gravity",https://www.adafruit.com/product/2809
LilyGO,T-Display,"TTGO T-Display ESP32, 1.14 in ST7789 135x240",1,15.00,15.00,"the brain and the screen, powered by USB-C at 5 V",https://github.com/Xinyuan-LilyGO/TTGO-T-Display
Adafruit,3782,"TT motor encoder wheel, 20 slots",1,0.95,0.95,snaps onto the motor's free shaft; gives the stall watchdog a 250 ms verdict and the controller its cable position,https://www.adafruit.com/product/3782
Adafruit,3986,T-slot photo interrupter,1,2.95,2.95,reads the encoder wheel,https://www.adafruit.com/product/3986
Adafruit,1536,"Piezo buzzer, 12 mm",1,0.95,0.95,the alert at the end of the retry window,https://www.adafruit.com/product/1536
Adafruit,4399,"STEMMA QT / Qwiic JST SH 4-pin cable, 100 mm",3,0.95,2.85,I2C daisy chain between the two time-of-flight boards and the accelerometer,https://www.adafruit.com/product/4399
Adafruit,3564,"Silicone hook-up wire, 26 AWG, spool",1,4.95,4.95,"motor, driver, buzzer and encoder wiring",https://www.adafruit.com/product/3564
Adafruit,4298,"USB-C cable, 1 m",1,3.95,3.95,the 5 V supply into the T-Display,https://www.adafruit.com/product/4298
Adafruit,753,100 uF 16 V electrolytic capacitor,1,0.95,0.95,across the driver's motor supply; TI's minimum is 10 uF and a 1.0 A chop on a shared USB rail earns more,https://www.adafruit.com/product/753
Adafruit,753-c,0.1 uF ceramic capacitor,1,0.75,0.75,high-frequency bypass at the driver,https://www.adafruit.com/product/753
