doorbot revision A - everything you need to buy
"23 line items, 46 pieces, $124.49 at prices read 2026-09-12. Printing needs 256 g of Bambu Lab PLA Tough+."
"Rows marked 'search' link to a vendor search, not one listing: those are commodity screws, dowels and line with no single part to cite."

buy from,item,part number,qty,unit $,line $,what it is for,buy link,link is a search,datasheet,link check

adafruit.com - one cart,15 pieces,,,,61.60
adafruit.com - one cart,VL53L4CD time-of-flight distance sensor,5396,1,14.95,14.95,"hand-wave target; the only VL53 board published down to 1 mm, and the narrowest cone at 18 deg so a passer-by stays out of it",https://www.adafruit.com/product/5396,,,HTTP 200
adafruit.com - one cart,VL53L1X time-of-flight distance sensor,3967,1,14.95,14.95,"doorway and closing path; 4 m range and the widest published cone at 27 deg, with a programmable region of interest to trim it to the opening",https://www.adafruit.com/product/3967,,,HTTP 200
adafruit.com - one cart,DRV8833 DC motor driver breakout,3297,1,5.95,5.95,"3.3 V logic direct, 2.7 V motor floor, and a 1.0 A hardware current chop that caps cable tension at 151 N with no firmware in the loop",https://www.adafruit.com/product/3297,,,HTTP 200
adafruit.com - one cart,LIS3DH triple-axis accelerometer,2809,1,4.95,4.95,"kick detection; the only candidate with both an on-chip click engine and a high-pass filter in front of it, so the threshold is spent on the impulse and not on gravity",https://www.adafruit.com/product/2809,,,HTTP 200
adafruit.com - one cart,"Silicone hook-up wire, 26 AWG, spool",3564,1,4.95,4.95,"motor, driver, buzzer and encoder wiring",https://www.adafruit.com/product/3564,,,HTTP 200
adafruit.com - one cart,"USB-C cable, 1 m",4298,1,3.95,3.95,the 5 V supply into the T-Display,https://www.adafruit.com/product/4298,,,HTTP 200
adafruit.com - one cart,T-slot photo interrupter,3986,1,2.95,2.95,reads the encoder wheel,https://www.adafruit.com/product/3986,,,HTTP 200
adafruit.com - one cart,"STEMMA QT / Qwiic JST SH 4-pin cable, 100 mm",4399,3,0.95,2.85,I2C daisy chain between the two time-of-flight boards and the accelerometer,https://www.adafruit.com/product/4399,,,HTTP 200
adafruit.com - one cart,"DC gearbox 'TT' motor, 1:48, 3-6 V",3777,1,2.50,2.50,the single drive motor; 65.4 mN.m stall and 207 RPM at 5 V,https://www.adafruit.com/product/3777,,,HTTP 200
adafruit.com - one cart,"TT motor encoder wheel, 20 slots",3782,1,0.95,0.95,snaps onto the motor's free shaft; gives the stall watchdog a 250 ms verdict and the controller its cable position,https://www.adafruit.com/product/3782,,,HTTP 200
