reference,quantity,item,part_number,supplier,url,unit_usd,price_basis,notes
A1,1,"Raspberry Pi 4 Model B, 4 GB - control server, Wi-Fi, head displays, audio",Adafruit 4296,Adafruit,https://www.adafruit.com/product/4296,120.0,listed,"Powered from the 5 V regulator through a USB-C plug breakout (J12), not from a wall adapter. Needs the 32 GB microSD SD1."
A2,1,Adafruit KB2040 (RP2040) - motor and NeoPixel controller,Adafruit 5302,Adafruit,https://www.adafruit.com/product/5302,8.95,listed,Powered and commanded from a Pi USB 2.0 port over cable J11. Pin map is fixed by firmware/kb2040/code.py.
U1,1,"DRV8833 dual H-bridge - driver 1, left foot (lf-front, lf-rear)",Adafruit 3297,Adafruit,https://www.adafruit.com/product/3297,5.95,listed,VMOTOR from the 6 V regulator U6. Keep both 0.2 ohm sense resistors: 1 A per motor.
U2,1,"DRV8833 dual H-bridge - driver 2, right foot (rf-front, rf-rear)",Adafruit 3297,Adafruit,https://www.adafruit.com/product/3297,5.95,listed,VMOTOR from the 6 V regulator U7.
U3,1,"DRV8833 dual H-bridge - driver 3, centre foot (cf-front, cf-rear)",Adafruit 3297,Adafruit,https://www.adafruit.com/product/3297,5.95,listed,VMOTOR from the 6 V regulator U6.
U4,1,"DRV8833 dual H-bridge - driver 4, head friction drive (channel A only)",Adafruit 3297,Adafruit,https://www.adafruit.com/product/3297,5.95,listed,VMOTOR from the 6 V regulator U7. BIN1/BIN2 tied to GND; BOUT1/BOUT2 unused.
U5,1,"Pololu D36V50F5 step-down regulator, 12 V to 5 V 5.5 A - Pi, displays, NeoPixels, amplifier",Pololu 4091,Pololu,https://www.pololu.com/product/4091,39.95,listed,Fed from the 12 V bus through fuse F3 (3 A). Pololu stock is rationed; order early.
U6,1,"Pololu D36V50F6 step-down regulator, 12 V to 6 V 5.5 A - motor rail A (drivers U1 and U3)",Pololu 4092,Pololu,https://www.pololu.com/product/4092,39.95,listed,Fed from the 12 V bus through fuse F4 (5 A). Four motors x 1 A limit = 4 A worst case.
U7,1,"Pololu D36V50F6 step-down regulator, 12 V to 6 V 5.5 A - motor rail B (drivers U2 and U4)",Pololu 4092,Pololu,https://www.pololu.com/product/4092,39.95,listed,Fed from the 12 V bus through fuse F5 (5 A). Three motors x 1 A limit = 3 A worst case.
U8,1,"PAM8302 mono class D amplifier, 2.5 W into 4 ohm - dome and body sound",Adafruit 2130,Adafruit,https://www.adafruit.com/product/2130,3.95,listed,"Runs on the 5 V rail. Input is the Pi 3.5 mm jack, left and right summed through two 10 k resistors (R4)."
U9,1,"ADS1115 16 bit 4 channel ADC, STEMMA QT - battery voltage sense",Adafruit 1085,Adafruit,https://www.adafruit.com/product/1085,14.95,listed,"Address 0x48 on the Pi I2C-1 bus, single-ended input A0, read by firmware/pi/battery.py. Divider R2 (100 k top) over R3 (15 k bottom)."
SR1,1,"Slip ring, 12 wire, 2 A per wire - dome power and signals",Adafruit 1195 (Prosper SRC012C-12),Adafruit,https://www.adafruit.com/product/1195,24.95,listed,"Body 12.4 mm dia x 19.5 mm, no flange; clamp in the printed post on the body top plate. 28 AWG leads about 150 mm each side."
DS1,1,"Mini 0.8 inch 8x8 LED matrix with I2C backpack, yellow-green - front logic, upper window",Adafruit 872,Adafruit,https://www.adafruit.com/product/872,9.95,listed,HT16K33 address 0x70: no address jumper bridged.
DS2,1,"Mini 0.8 inch 8x8 LED matrix with I2C backpack, yellow-green - front logic, lower window",Adafruit 872,Adafruit,https://www.adafruit.com/product/872,9.95,listed,HT16K33 address 0x71: bridge jumper A0.
DS3,1,"Mini 0.8 inch 8x8 LED matrix with I2C backpack, red - rear logic, left half",Adafruit 870,Adafruit,https://www.adafruit.com/product/870,9.95,listed,HT16K33 address 0x72: bridge jumper A1.
DS4,1,"Mini 0.8 inch 8x8 LED matrix with I2C backpack, red - rear logic, right half",Adafruit 870,Adafruit,https://www.adafruit.com/product/870,9.95,listed,HT16K33 address 0x73: bridge jumpers A0 and A1.
DS5,1,"1.28 inch 240x240 round TFT, GC9A01A, EYESPI - radar eye",Adafruit 6178,Adafruit,https://www.adafruit.com/product/6178,17.5,listed,Pi SPI0 through the slip ring. Backlight pin tied to 5 V through R1 (100 ohm) inside the dome.
LED1,1,"NeoPixel Jewel, 7 x 5050 RGB - front PSI",Adafruit 2226,Adafruit,https://www.adafruit.com/product/2226,5.95,listed,"Chain positions 0-6. Data in from slip ring wire 5, data out to LED2."
LED2,1,"NeoPixel Jewel, 7 x 5050 RGB - rear PSI",Adafruit 2226,Adafruit,https://www.adafruit.com/product/2226,5.95,listed,Chain positions 7-13. Data out to LED3.
LED3-LED5,1,"Diffused 8 mm through-hole NeoPixels, pack of 5 - holoprojectors HP1, HP2, HP3",Adafruit 1734,Adafruit,https://www.adafruit.com/product/1734,4.95,listed,"Three used, two spare; chain positions 14-16. Page reads Out of stock on 2026-09-12; alternate is Adafruit 1655 (5050 with driver, 10 pack, $4.50) on a hand-made carrier."
LS1,1,"Speaker, 3 inch, 4 ohm 3 W - behind the front vent",Adafruit 1314,Adafruit,https://www.adafruit.com/product/1314,1.95,listed,"Page reads Out of stock on 2026-09-12. Noted alternate: Adafruit 1313, 3 inch 8 ohm 1 W, $1.95, same 77.8 mm footprint and 60 mm tab spacing, about half the output."
M1,1,"TT gearmotor 1:48, 3-6 V - left foot, front",Adafruit 3777,Adafruit,https://www.adafruit.com/product/3777,2.95,listed,Driver U1 channel A. 22 AWG extension to a JST-XH pair at the driver.
M2,1,"TT gearmotor 1:48, 3-6 V - left foot, rear",Adafruit 3777,Adafruit,https://www.adafruit.com/product/3777,2.95,listed,Driver U1 channel B.
M3,1,"TT gearmotor 1:48, 3-6 V - right foot, front",Adafruit 3777,Adafruit,https://www.adafruit.com/product/3777,2.95,listed,Driver U2 channel A.
M4,1,"TT gearmotor 1:48, 3-6 V - right foot, rear",Adafruit 3777,Adafruit,https://www.adafruit.com/product/3777,2.95,listed,Driver U2 channel B.
M5,1,"TT gearmotor 1:48, 3-6 V - centre foot, front",Adafruit 3777,Adafruit,https://www.adafruit.com/product/3777,2.95,listed,Driver U3 channel A.
M6,1,"TT gearmotor 1:48, 3-6 V - centre foot, rear",Adafruit 3777,Adafruit,https://www.adafruit.com/product/3777,2.95,listed,Driver U3 channel B.
M7,1,"TT gearmotor 1:48, 3-6 V - head friction drive",Adafruit 3777,Adafruit,https://www.adafruit.com/product/3777,2.95,listed,"Driver U4 channel A, under the body top plate on the tensioned mount."
W1-W14,14,"Orange wheel for TT motor, 63 x 29 mm",Adafruit 3766,Adafruit,https://www.adafruit.com/product/3766,1.5,listed,"Thirteen used (four per foot, one on the head drive) and one spare. Page reads Out of stock on 2026-09-12."
BT1,1,"Battery, 12 V 7 Ah sealed lead acid, F2 terminals",Power-Sonic PS-1270 F2,TRC Electronics,https://www.trcelectronics.com/products/powersonic-ps-1270-f2,19.0,listed,"151 x 65 x 94 mm, 100 mm over the terminals, about 2 kg. Sits on the shelf in body_lower, strapped. Never charge it inverted."
G1,1,"SLA charger, 3 stage, 12 V 1.5 A, 5.5 x 2.1 mm centre-positive barrel plug",PowerStream PST-P2012-A12B,PowerStream,https://www.powerstream.com/12V-car-charger.htm,22.0,listed,"Bulk 1.5 A, absorb 14.75 V, float 13.75 V. External; it plugs into J1 with the robot switched off."
J1,1,"Panel charge jack, 5.5 mm OD barrel, threaded bushing",Switchcraft L722A (DigiKey SC1151-ND),DigiKey,https://www.digikey.com/en/products/detail/switchcraft-inc/L722A/241928,6.65,listed,"Rated 5 A 48 V. Mounts in the rear lower band of body_lower. Wired to the battery side of SW1 through fuse F2, so it charges with the robot off."
SW1,1,"Main power switch, SPST rocker, 20 A 12 V DC, snap-in",Carling V1D2S00B-GZCXX-1XX-XFWD1,DigiKey,https://www.digikey.com/en/products/detail/carling-technologies/V1D2S00B-GZCXX-1XX-XFWD1/11587384,8.63,listed,"Panel cutout 36.83 x 21.08 mm in the rear lower band, beside J1. 0.250 inch quick-connect terminals."
FH1-FH6,6,"In-line ATO/ATC blade fuse holder, 20 A 32 V, 16 AWG leads",Littelfuse FHAC0001ZXJ (DigiKey F3209-ND),DigiKey,https://www.digikey.com/en/products/detail/littelfuse-commercial-vehicle-products/FHAC0001ZXJ/2004062,7.37,listed,"Six: FH1 main 15 A, FH2 charge 3 A, FH3 Pi rail 3 A, FH4 motor rail A 5 A, FH5 motor rail B 5 A, FH6 dome 5 V feed 2 A. The design brief listed five and left the dome holder out; the dome fuse needs its own holder."
F1,1,"Fuse, ATO blade, 15 A 32 V - main, at the battery positive lead",Littelfuse 0287015.PXCN,DigiKey,https://www.digikey.com/en/products/detail/littelfuse-inc/0287015.PXCN/2519816,0.44,listed,Within 100 mm of the battery terminal. Buy spares; they cost $0.44 each.
F2,1,"Fuse, ATO blade, 3 A 32 V - charge port branch",Littelfuse 0287003.PXCN,DigiKey,https://www.digikey.com/en/products/detail/littelfuse-inc/0287003-PXCN/3102553,0.44,listed,Charger delivers 1.5 A maximum.
F3,1,"Fuse, ATO blade, 3 A 32 V - 5 V regulator input",Littelfuse 0287003.PXCN,DigiKey,https://www.digikey.com/en/products/detail/littelfuse-inc/0287003-PXCN/3102553,0.44,listed,"Measured 12 V draw of the 5 V rail is 0.65 A idle, 1.4 A worst case."
F4,1,"Fuse, ATO blade, 5 A 32 V - 6 V motor rail A input",Littelfuse 0287005.PXCN,DigiKey,https://www.digikey.com/en/products/detail/littelfuse-inc/0287005-PXCN/2519811,0.44,listed,"Four motors at the DRV8833 1 A limit is 24 W, 2.2 A from 12 V."
F5,1,"Fuse, ATO blade, 5 A 32 V - 6 V motor rail B input",Littelfuse 0287005.PXCN,DigiKey,https://www.digikey.com/en/products/detail/littelfuse-inc/0287005-PXCN/2519811,0.44,listed,"Three motors at the 1 A limit is 18 W, 1.7 A from 12 V."
F6,1,"Fuse, ATO blade, 2 A 32 V - dome 5 V feed through the slip ring",Littelfuse 0287002.PXCN,DigiKey,https://www.digikey.com/en/products/detail/littelfuse-inc/0287002-PXCN/3102552,0.44,listed,"Dome worst case is 1.6 A (17 NeoPixels at 60 mA, four matrices, one TFT). Two slip-ring wires carry the 5 V, two carry the return."
