reference,quantity,item,part_number,supplier,url,unit_usd,price_basis,notes
H01,1,"Lazy susan ring bearing, 9 inch round steel, 228.6 mm OD, 114.3 mm centre hole",Triangle 9C (WW Hardware TR09C),WW Hardware,https://www.wwhardware.com/triangle-flat-lazy-susan-bearing-9-round-tr09c,6.79,listed,Dome bearing between the body top plate and the dome plate. 750 lb rating; four M5 screws per race through the access holes.
H02,1,"Ball bearings 6001-2RS, 12 x 28 x 8 mm, pack of 10",PGN 6001-2RS 10 pack,Amazon,https://www.amazon.com/dp/B07GVQ8G23,11.45,listed,"Six used: two per shoulder pivot (four) and two in the centre-foot caster (params.scad caster_bearing_od 28, caster_bearing_t 8). Four spare. Revision D: the two centre-foot caster bearings are unchanged."
H03,2,"Hex bolt M12-1.75 x 130 mm, class 8.8 zinc - shoulder pivot",Bolt Depot 6272,Bolt Depot,https://www.boltdepot.com/Metric_hex_bolts_Zinc_plated_class_8.8_steel_12mm_x_1.75mm.aspx,2.83,listed,"One per shoulder, through the leg hub, the bushings and the 30 mm body boss. Use a steel crush sleeve so the printed boss is never clamped directly."
H04,1,"Nylon-insert lock nuts M12-1.75, DIN 985, stainless, pack of 20",BNUOK M12 nyloc 20 pack,Amazon,https://www.amazon.com/dp/B0F8GZP628,8.99,listed,Two used on the shoulder bolts; the rest are spares and centre-leg hardware.
H05,8,"Fender washer M12, 12 x 37 mm, zinc",Bolt Depot 17834,Bolt Depot,https://boltdepot.com/Product-List?Units=Metric&Category=Washers&Subcategory=Fender_washers&F_Size=12mm&Material=Steel&Plating=Zinc,0.56,listed,"Large washers spread the shoulder clamp load over the printed faces; loads.md asks for about 40 mm diameter, so 37 mm is the closest stock size."
H06,8,"Flat washer M12, zinc",Bolt Depot 4531,Bolt Depot,https://boltdepot.com/Product-List?Units=Metric&Category=Washers&Subcategory=Flat_washers&F_Size=12mm&Material=Steel&Plating=Zinc,0.08,listed,Under the nyloc and against the bearing inner races.
H07,2,"Flanged bronze bushing, 12 mm bore x 16 mm OD x 20 mm, pack of 2",HARFINGTON flanged bushing,Amazon,https://www.amazon.com/dp/B0CGDV5C3F,12.99,listed,"Four bushings, two per shoulder, as the low-friction sleeve between the leg hub and the pivot bolt."
H09,4,"Threaded rod M8 x 1.25, 1 m, zinc steel",Bolt Depot 23774,Bolt Depot,https://boltdepot.com/Threaded_rod_Zinc_plated_steel_8mm_x_1.25mm,11.25,listed,"Cut plan: two rods give the four body rods at 385 mm each (2 x 385 = 770 mm, 230 mm offcut); two rods give the four leg rods at 425 mm each (2 x 425 = 850 mm, 150 mm offcut). Deburr and chamfer every cut end."
H10,40,"Hex nut M8-1.25, class 8.8 zinc",Bolt Depot 4788,Bolt Depot,https://boltdepot.com/Product-List?Units=Metric&Category=Nuts&Subcategory=Hex_nuts&F_Diameter=8mm&F_Thread_pitch=1.25mm&Material=Steel&Plating=Zinc&Grade=Class_8.8,0.06,listed,Two per rod end (jam pairs) on eight rods plus the centre-leg flange bolts. $4.84 per 100 at Bolt Depot. Revision D: the four centre-leg flange nuts are no longer used; two M8 nuts are captive in leg_center for the pitch-hinge bolts (H36).
H11,1,"Nylon-insert lock nuts M8-1.25, pack of 50",Yinpecly M8 nyloc 50 pack,Amazon,https://www.amazon.com/dp/B0F1YGKBSL,6.99,listed,"Final nut on every M8 rod end, the four centre-leg flange bolts and the two ankle bolts per outer foot."
H12,40,"Flat washer M8, zinc",Bolt Depot 4529,Bolt Depot,https://boltdepot.com/Product-List?Units=Metric&Category=Washers&Subcategory=Flat_washers&F_Size=8mm&Material=Steel&Plating=Zinc,0.05,listed,Under every M8 nut that does not get a fender washer. $2.33 per 100. Revision D: two under the pitch-hinge bolt heads (H36); the four centre-leg flange washers are no longer used.
H13,16,"Fender washer M8, 8 x 24 mm, zinc",Bolt Depot 17832,Bolt Depot,https://boltdepot.com/Product-List?Units=Metric&Category=Washers&Subcategory=Fender_washers&F_Size=8mm&Material=Steel&Plating=Zinc,0.28,listed,"One at each end of the eight rods, so the 1 kN preload in loads.md sits on about 5 MPa of printed face."
H14,12,"Socket cap screw M5 x 0.8 x 12 mm, stainless 18-8",Bolt Depot metric socket cap 5 mm x 0.8 mm x 12 mm,Bolt Depot,https://boltdepot.com/Metric_socket_cap_Stainless_steel_18-8_(A-2)_5mm_x_0.8mm,0.3,allowance,"Eight used: four into M5 heat-set inserts in the body top plate and four into the dome plate, through the lazy-susan access holes. Bolt Depot prices load by script and were not readable on 2026-09-12."
H15,1,"Heat-set inserts M5 x 9.5 mm, brass, pack of 50 (ruthex RX-M5x9.5)",ruthex RX-M5x9.5,Amazon,https://www.amazon.com/dp/B07YSVXWS8,9.99,listed,"Eight for the lazy susan, two for the head-drive tensioner. CAD pocket 6.63 mm diameter x 10.0 mm deep."
H16,4,"Socket cap screw M5 x 0.8 x 40 mm, stainless - head-drive tensioner","uxcell M5 x 40 socket cap, 10 pack",Amazon,https://www.amazon.com/dp/B0DY4HF7N8,0.4,allowance,"Two used on the tensioner, two spare. Listed at $3.99 per 10 in a search result; the page itself was not fetched, so the price is an allowance."
H17,1,"Knurled thumb nuts M5-0.8, 304 stainless, pack of 10",uxcell M5 thumb nut 10 pack,Amazon,https://www.amazon.com/dp/B0D7PWCDWK,9.39,listed,Two used: tool-free tension stop on the head-drive adjuster screws.
