part,quantity,material,mirror_for_second,x_mm,y_mm,z_mm,volume_cm3,solid_mass_g,faces,watertight,winding_consistent,connected_solids,print_rotation_z,fits_envelope,pass_check,orientation,notes
dome,1,PETG,False,316.83,316.83,199.139,1027.01,1304.3,49934,True,True,1,0,True,True,Lip down on the plate; crown up,One-piece detailed dome with display cutouts; tree supports under the top disc only
body_upper,1,PETG,False,317.0,317.0,264.0,2942.29,3736.7,74154,True,True,1,0,True,True,Bottom (mating lip) down,"Upper body ring with integral electronics deck, shoulder bosses, head ring and lazy-susan seat; no brim"
body_lower,1,PETG,False,317.0,317.0,166.945,1794.63,2279.2,37498,True,True,1,0,True,True,Skirt bottom down,"Lower body ring, skirt, battery bay, centre-leg socket, electronics tray; no brim"
leg_upper,2,PETG,True,289.7,139.4,50.79,1137.9,1445.1,10924,True,True,1,0,True,True,Shoulder face down,Left file supplied; mirror in the slicer for the right leg
leg_lower,2,PETG,True,232.0,100.0,58.25,525.47,667.3,7230,True,True,1,0,True,True,Splice face down,Left file supplied; mirror in the slicer for the right leg
foot_outer,2,PETG,True,181.8,265.0,105.2,673.21,855.0,15500,True,True,1,0,True,True,Sole down,Left file supplied; mirror in the slicer for the right foot; two motors and four wheels
leg_center,1,PETG,False,83.3,64.0,64.807,194.6,247.1,4566,True,True,1,0,True,True,Bearing face down,"Revision D centre-leg housing: caster bearings, pitch-hinge nut pockets, heel and toe stop faces"
leg_carriage,1,PETG,False,171.0,174.5,36.5,347.3,441.1,3778,True,True,1,0,True,True,Top frame down; tree supports under the cross-web,"Revision D centre-leg carriage: two LM12LUU seats, pitch-hinge cheeks, P16 rod-eye web. Added because the pitch hinge must join the guide bearings, the actuator eye and the housing and no purchased joint does all three"
foot_center,1,PETG,False,123.3,180.2,119.9,401.63,510.1,8636,True,True,1,0,True,True,Sole down,Centre foot with caster stem; two motors and four wheels
head_drive,1,PETG,False,116.5,72.283,39.914,84.11,106.8,7752,True,True,1,0,True,True,Base down,Pivoting friction-drive motor mount with tension screw
