id,item,quantity,count_status,basis
MOTOR,Adafruit3777 motor assembly with factory-installed100nF terminal suppression and terminated lead,7,counted,Requires an actual finished supplied motor assembly; internal capacitor listed separately
WHEEL,Adafruit3766 wheel;12 ground plus1 head,13,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
BODY_RAIL,MISUMI HFS5-2020 cut228mm,4,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
LEG_RAIL,MISUMI HFS5-2020 cut180mm,2,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
POST_RAIL,MISUMI HFS5-2020 cut296mm,1,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
SHOULDER_SHAFT,12mm steel shaft cut366mm,1,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
SHOULDER_BEARING,SKF6201 bearing,4,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
HUB,goBILDA1301-0016-0012 clamping hub assembly,2,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
HUB_SCREW,M4 hub fixing screw,8,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
COLLAR,12mm split shaft collar with factory clamp screw,2,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
SHOULDER_SPACER,12.7ID16OD steel spacer6.5mm,2,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
BEARING_CAP_SCREW,M4 shoulder-cap through screw,4,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
BEARING_CAP_NUT,M4 captive shoulder-cap nut,4,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
ANKLE_SCREW,Flanged M5x40 ankle screw,4,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
ANKLE_NUT,Flanged M5 locking nut,4,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
HEAD_BEARING,608 bearing8x22x7mm,2,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
HEAD_BOLT,M8x45 hex bolt; stationary head spindle,1,counted,Current mechanical/electrical design quantity; exact procurement and mounting review still pending
