name,vendor,sku,tech,price_usd,fov_h_deg,fov_v_deg,zones,max_range_m,update_hz,interface,needs_line_of_sight,sees_through_plastic,width_1ft_mm,human_1ft,pet_1ft,object_1ft,width_3ft_mm,human_3ft,pet_3ft,object_3ft,width_5ft_mm,human_5ft,pet_5ft,object_5ft,width_8ft_mm,human_8ft,pet_8ft,object_8ft,width_10ft_mm,human_10ft,pet_10ft,object_10ft
VL53L0X ToF Distance Sensor,Adafruit,3317,tof-single,14.95,25,25,1,2.0,30,I2C 400 kHz addr 0x29,yes,no,135,2 obstacle + range,2 obstacle + range,2 obstacle + range,405,0 nothing,0 nothing,0 nothing,676,0 nothing,0 nothing,0 nothing,1081,0 nothing,0 nothing,0 nothing,1351,0 nothing,0 nothing,0 nothing
VL53L1X ToF Distance Sensor,Adafruit,3967,tof-single,14.95,19.3,19.3,1,4.0,50,I2C 400 kHz addr 0x29,yes,no,104,2 obstacle + range,2 obstacle + range,2 obstacle + range,311,2 obstacle + range,2 obstacle + range,2 obstacle + range,518,2 obstacle + range,2 obstacle + range,2 obstacle + range,829,0 nothing,0 nothing,0 nothing,1037,0 nothing,0 nothing,0 nothing
VL53L4CD ToF Distance Sensor,Adafruit,5396,tof-single,14.95,18,18,1,1.3,100,I2C 1 MHz addr 0x29,yes,no,97,2 obstacle + range,2 obstacle + range,2 obstacle + range,290,0 nothing,0 nothing,0 nothing,483,0 nothing,0 nothing,0 nothing,772,0 nothing,0 nothing,0 nothing,966,0 nothing,0 nothing,0 nothing
VL53L4CX ToF Distance Sensor,Adafruit,5425,tof-single,14.95,18,18,1 with multi-object,6.0,30,I2C 1 MHz addr 0x29,yes,no,97,2 obstacle + range,2 obstacle + range,2 obstacle + range,290,2 obstacle + range,2 obstacle + range,2 obstacle + range,483,2 obstacle + range,2 obstacle + range,2 obstacle + range,772,0 nothing,0 nothing,0 nothing,966,0 nothing,0 nothing,0 nothing
VL53L3CX Multi-Target ToF,Pololu,3416,tof-single,19.95,25,25,1 with up to 4 targets,3.1,30,I2C 1 MHz addr 0x29,yes,no,135,2 obstacle + range,2 obstacle + range,2 obstacle + range,405,2 obstacle + range,2 obstacle + range,2 obstacle + range,676,2 obstacle + range,2 obstacle + range,2 obstacle + range,1081,0 nothing,0 nothing,0 nothing,1351,0 nothing,0 nothing,0 nothing
VL6180X ToF Proximity and Ambient Light Sensor,Adafruit,3316,tof-single,13.95,25,25,1,0.1,150,I2C 400 kHz addr 0x29,yes,no,135,0 nothing,0 nothing,0 nothing,405,0 nothing,0 nothing,0 nothing,676,0 nothing,0 nothing,0 nothing,1081,0 nothing,0 nothing,0 nothing,1351,0 nothing,0 nothing,0 nothing
VL53L4ED Low-Power ToF,STMicroelectronics,VL53L4ED,tof-single,,18,18,1,1.3,,I2C,yes,no,97,2 obstacle + range,2 obstacle + range,2 obstacle + range,290,2 obstacle + range,2 obstacle + range,2 obstacle + range,483,0 nothing,0 nothing,0 nothing,772,0 nothing,0 nothing,0 nothing,966,0 nothing,0 nothing,0 nothing
VL53L5CX 8x8 Multizone ToF,Pololu,3417,tof-multizone,19.95,45,45,8x8,4.0,15,I2C 1 MHz addr 0x29,yes,no,253,5 full silhouette,3 living vs not,2 obstacle + range,758,3 living vs not,2 obstacle + range,2 obstacle + range,1263,0 nothing,0 nothing,0 nothing,2020,0 nothing,0 nothing,0 nothing,2525,0 nothing,0 nothing,0 nothing
VL53L7CX Wide-FoV 8x8 Multizone ToF,Pololu,3418,tof-multizone,19.95,60,60,8x8,3.5,15,I2C 1 MHz addr 0x29,yes,no,352,5 full silhouette,3 living vs not,2 obstacle + range,1056,0 nothing,0 nothing,0 nothing,1760,0 nothing,0 nothing,0 nothing,2816,0 nothing,0 nothing,0 nothing,3520,0 nothing,0 nothing,0 nothing
VL53L8CX 8x8 Multizone ToF,Pololu,3419,tof-multizone,24.95,45,45,8x8,4.0,15,I2C 1 MHz addr 0x29 or SPI 20 MHz,yes,no,253,5 full silhouette,3 living vs not,2 obstacle + range,758,3 living vs not,2 obstacle + range,2 obstacle + range,1263,3 living vs not,2 obstacle + range,2 obstacle + range,2020,2 obstacle + range,2 obstacle + range,2 obstacle + range,2525,0 nothing,0 nothing,0 nothing
